Genes	P value (cut-off 0.05)
YIPF5	0.000200824772275517
ILF3	0.00463905722481722
GABARAP	0.0195554548204742
MAPKAP1	6.81986068101572e-05
PSMC6	2.10429532905958e-07
MBP	0.00130374849574439
OSBPL8	0.0124881030733906
UBR4	3.23477985837694e-05
ODF2L	0.00359647520499877
HK1	0.00536274845984248
SP3	0.0159372403576442
HN1	9.47938446126803e-07
PLTP	1.07172867795879e-05
MTHFD2L	0.00263547221262444
PPP2R1A	0.00123511590673699
DHRS4-AS1	0.0076152873589136
CHN2	0.0303549828466367
CCDC53	7.98181980096044e-05
MED28	8.26302376470925e-07
CLINT1	0.000241294858357436
TXNDC15	3.25183219031700e-09
CHST12	0.00409990899276437
TPR	0.000150285344899398
SMPDL3A	0.0468043922002987
RASSF1	0.00128991978100914
GOLGA7	0.000576431457686579
ALG13	0.000106807143219116
PNN	0.023841407019703
PSENEN	0.000454217425974201
APOF	0.00630940632007749
DBNL	0.000972467028451153
SCARB2	1.31759226873385e-05
F8	0.00586080404843326
ILF2	0.00313683787878116
MRPS18B	5.59372574236385e-05
MON2	0.0450434529913777
VIM	2.09327338076228e-12
BUD31	5.78417648534504e-07
EIF3I	3.91829236069646e-07
PAFAH1B1	0.000342124902291144
JKAMP	1.39768896463495e-06
HMCES	0.000117655075014112
ABCC9	0.000188805551705128
VPS4A	0.00115996253221141
PDS5B	0.00571069778263643
GPAA1	9.41085711024334e-08
CGGBP1	5.53871309643348e-06
UGT2B15	0.0116090122135262
LSM6	0.0022226506771
YIPF2	5.69038379615632e-07
JAK1	0.000605859996389315
AKR7A2	6.06957260646283e-05
RNF145	0.00014139673913302
ZC3H11A	4.19759280856916e-06
KHDRBS1	2.73946323967468e-06
SLA	0.0258516740954133
ARL1	1.91059279535417e-05
GTF2F1	0.00106035730033944
EXOSC1	0.000388517409958424
MKNK1	9.76803637362897e-05
FAM89B	0.0165100325527072
PARVB	1.02992626318941e-05
DNAJC8	5.33760174239536e-05
PCNP	0.00307479041664539
KLHL20	5.06327525864285e-05
DDX39A	0.000906023360548839
ADM	0.0363278188732159
PLEKHA3	0.00018738077887512
LAMB2	0.0274362869106776
THOC2	0.000165550822853279
DCAF6	4.11096376817201e-05
PCMT1	0.00093293152675136
EMP3	5.82334526892468e-19
UBE2N	0.00326383897340873
IL6R	0.0116090122135164
SRPK2	7.206656218985e-05
SH3BGRL	6.16590591768459e-11
TBC1D15	0.00368988157786759
ECHDC1	5.95017420521102e-05
NUFIP2	9.28717526084995e-06
H2AFV	0.0261807512704557
PDS5A	0.00103794395532058
FASTK	0.00145055683924238
MVB12A	5.17882200200797e-06
PIN1	7.7305393250752e-06
TUBA1C	8.26474344277978e-06
MIDN	0.000673512035772317
TXNL4A	0.000109664334733485
CCPG1	2.83020766413437e-06
EPC1	0.00147269035107469
METTL9	0.000429076605491136
EIF4EBP1	0.00155580508125432
C10orf54	0.000468680093541723
SFT2D1	3.43911080581887e-07
VPS28	1.91645550927728e-07
AGTRAP	0.0310777538337368
ZRANB2	5.66866339594781e-07
AAMDC	3.19063921715544e-07
ALDH7A1	0.00104118039549355
PTBP1	0.00604619561403105
TTC17	0.0136662474426863
IFNAR1	0.000665874233447562
OSTF1	2.89523588169033e-08
SNRPB2	1.90950719582834e-05
PHF14	0.000125531582452129
TCIRG1	0.0279914663374253
CXADR	0.00728957582499272
CCAR1	0.00216671250919032
KIF1C	0.00384104745190695
MTMR9	0.0209810032475613
NDRG2	2.21211348172817e-10
MXD4	0.000383081824845036
PHYH	5.55012955254401e-05
RAD21	0.000299741400529627
ZEB2	2.20846687818177e-14
GARS	2.61901534524452e-06
COPS6	6.14638268644066e-08
COASY	0.00169941414904204
SREK1	0.00224861573283817
MGEA5	0.00561332375655186
DPYS	0.0023670498819128
AAK1	0.00177032370191837
FBXO2	0.0324680547934955
TOX4	0.0212059761386321
RAB11B-AS1	0.0212157778689367
SYNGR2	0.00128784397809011
DGAT2	0.0258034345485845
ELOF1	0.010320411871742
PSMA3-AS1	0.00628679304806872
ARL4D	0.00284097110682131
RNF167	7.09884962542827e-05
CRIP2	2.52648816289266e-17
PPDPF	0.0134082065773391
UBE2E3	8.18497208800141e-06
CFAP20	0.00401443079344633
FRA10AC1	0.00135755798057971
HNRNPR	1.77715094462119e-05
APEX1	5.10414007095289e-06
PDCD5	2.45007571416681e-05
IFNGR2	5.78328930145738e-05
TGFBI	0.0265331101299992
RAB11A	4.60877244471549e-06
PLXND1	0.000812969485128241
RHOB	1.45143932737032e-05
HNRNPA0	3.85989715008043e-07
EHHADH	0.00380428710396199
VMA21	0.000668771800679573
DNAJB6	2.50744126213752e-07
LTBR	0.000189318890449724
KCNK6	1.124073262855e-06
MORF4L2	4.30660133118988e-09
CDK11B	0.000271796664585011
CTC-425F1.4	0.000477929229280678
SPTLC2	3.60672587496037e-06
MAP2K2	0.0293461578694375
MSN	0.000215264833950652
NCF1	0.0418393597520308
VCAN	8.4888340888936e-06
PDCD10	0.000775774258537087
USP16	0.0321289756398496
ATRAID	2.10267740075579e-08
CTSA	0.00810034397758019
TUBE1	0.000245875901936366
PHB	0.00127660790370431
ARHGEF12	0.0053190887114873
TLN1	8.6272905353727e-05
WBSCR22	0.00968894501694516
RSL1D1	0.000683151954009378
RNF149	0.000753468725242165
PRCP	4.98025601656083e-06
DDX1	0.000579829477358802
CLCN3	0.00115353911768343
IL10RB	0.000223555389798344
TMEM60	0.024986982784882
REV1	0.00103933175207285
VDAC3	4.47227301063715e-05
OTUD6B-AS1	0.00264824418942619
GNB1	0.00413339253121678
TCF25	0.000393201133722654
XIAP	0.000374597212626768
HECTD1	0.00172334049175897
BRD4	6.64269648114454e-09
RMDN1	0.0338020801043057
CSGALNACT1	0.00010911610927848
SEC61A1	8.67005103148104e-05
TGFB1	0.00466727673347487
DAAM1	2.05099251372569e-10
GOLGA2	3.41770962550972e-05
NHP2	0.00277488249011423
STUB1	7.50184214184001e-05
NASP	0.0011817622950762
UBE3A	0.00102464088720639
MRPL43	0.00783174402188769
ANXA1	9.54295772130468e-08
TOMM20	1.83103365560758e-05
BABAM1	0.000112750670801173
RAB18	0.000705338065572815
PSMC2	0.0127302125951746
RP1-60O19.1	0.0317136296740141
LRRC59	0.000161982463039111
URM1	4.05162120118536e-05
ANXA6	6.65992011612532e-05
ALDOC	2.30694424525327e-07
PAM	1.24680943389604e-06
TMEM147	3.57179831159506e-07
RAB13	3.93927263479185e-08
TPMT	0.0338973817967382
NEU4	0.019897795992953
APEH	0.0105044676068005
UBE2H	2.768324237606e-05
CITED2	7.6465718724698e-05
KIAA0368	0.00886895529200262
AP2S1	0.000742902066218338
SKA2	1.2551314321913e-05
CLNS1A	0.0021943040558129
CCNY	0.00251160673107856
MTPN	1.15777744286175e-07
TMEM243	5.05242450442503e-05
NKTR	0.000326001940308451
CCDC124	5.6347465353547e-08
CXCL2	0.0424758926215309
RBM42	2.07888833664317e-05
RNH1	1.33453284906385e-05
BPTF	0.0010303166007196
EVI5	8.8081546575264e-05
MGLL	6.25982445600532e-06
SS18L2	0.0298129270087966
ARHGAP30	0.0294141682799678
FBXO25	0.0104701789778912
PFDN4	0.0342931687861635
CD81	0.0470798097186324
PPP1R2	7.06823001688466e-05
IFT20	0.0036522077769922
ZFAND3	0.000406504090658247
IMP4	2.95110582403408e-06
CCDC167	2.71047125678289e-06
ARFGAP2	0.000168455070605396
C1D	2.779830310861e-05
FOSL2	0.00696497774581385
PIK3AP1	0.011339163706146
MRPS21	0.000617619161827944
SF3A2	2.10956402175257e-07
ACSL3	1.98113531509767e-05
ATP2A2	0.00142040751118712
PINK1	2.82274157725003e-06
SLC38A3	0.0268763004596305
TFR2	3.58673173018463e-06
TMEM45A	0.00379288077854913
BNIP2	0.000153921750516579
LSM10	0.000353210402055901
HLA-DRB5	4.65728264228938e-12
FAM177A1	2.46660945883787e-05
METTL5	0.00115197027608546
HNRNPUL1	2.65578348505799e-06
ATRX	0.00011617245919214
DHODH	0.0211189441301319
CYP2A6	0.00194746630596626
ACSL5	0.0181495980905916
IRF3	0.000418415528672826
SAR1A	0.000825085818624299
IDH3B	0.0017167113136304
SFXN1	0.0415633417018979
ITM2C	3.15170030048243e-09
CAPNS1	0.000934285008871016
CDA	0.0109714376797261
WWP1	0.000540092013807059
NCAPH2	0.000837612587576115
DARS	0.00952376863411808
TSC22D4	0.00869718655188868
UHMK1	0.0424325408807378
FKBP3	9.73856022788181e-05
SNF8	0.000363379962048012
PTPN2	0.017298197062246
CDC42SE1	0.00028183637391929
WDR45	0.000467545098758521
STAT3	0.00238874253773401
GNAI2	1.56735987668658e-05
EID1	8.98118316776532e-08
PNISR	0.00155776576390162
TFDP2	0.000490909631514961
TM4SF18	0.000498958117687662
LGALS1	1.02395179501709e-13
HYAL2	0.0216871970532522
EIF4E2	1.132759754703e-05
RP11-1151B14.3	0.0113391637061365
G3BP2	0.0301303326950191
HLX	0.0118621129268071
USB1	0.0226351109734983
SLC22A18	0.0355029701896889
SNHG19	4.3116268039134e-06
S100A10	5.51877297475594e-05
PIGP	0.00233648336574218
C11orf58	4.00762218986072e-11
SERPINA5	0.0428300484569098
LRRFIP1	4.78486154432669e-08
CRELD2	4.68648106135965e-07
IFI27	1.03894347286331e-05
HNRNPAB	5.55458047712429e-05
PQLC1	0.0160957273184606
SNRPB	0.000103859825144672
COMMD3	0.000159075300549221
IDH3G	3.47977589834388e-05
ANKRD12	0.000110753766311835
NDUFA9	0.00124503248704686
SLC35D1	0.0198674436320334
ZCRB1	0.013713780162893
SMOC1	0.0335012146673166
ZYX	1.91842509836096e-05
SRSF9	5.68786966442099e-08
ZSCAN16-AS1	1.98026165571736e-05
GSTP1	1.34310836308872e-10
PPP1R12B	4.2639394042241e-09
ZBTB16	0.00387721626174064
MAP3K11	0.0182334139056444
PAK2	4.69230775107432e-05
PSMD12	0.00317187567733738
CHID1	6.64261046570138e-06
PSAT1	0.00485657190253476
HMGB3	0.0219055481680731
C9orf142	0.0297112553008879
PHC3	0.0159559783273649
RNASEH2C	1.81351094146862e-05
FADS1	8.68775403491662e-06
GNAQ	4.56245143103416e-06
DCAF7	6.12663416999035e-07
NR1H3	0.00114248852699625
ARPC4	2.01688411438156e-05
STOML2	2.06862104564478e-06
TXNRD1	0.000987842398176687
AGXT2	0.0398518169707565
COA1	8.97003613054023e-08
RP11-160E2.6	3.67575913193349e-05
ATF3	1.54754806087962e-08
NDUFS3	0.000344040183724225
ROGDI	0.00313806828368428
ASL	0.0228872297310585
MYC	0.00393685166086703
MDM4	1.65385349313633e-07
RGS14	0.00521297832588073
DNAJC7	1.27034676210138e-05
FAM99A	0.0272669499768317
MCUR1	0.00128361440386183
CBR4	0.00303974890932431
CD63	3.37134469817234e-09
USP53	6.73438293131906e-05
DOK1	0.0122650248698451
CD46	0.00431244887331276
YWHAH	1.85691274520973e-06
HM13	0.00281054452458433
MRPL11	0.000206080014042945
C16orf13	0.000227684642079967
TCP1	1.53905190151454e-05
PSMD11	0.0457596050716197
CNDP2	0.000101495761366777
MVP	0.000305539660018943
LDHB	9.1674955566571e-09
PBLD	0.0222126192190375
ACMSD	0.0281180519553027
PLCXD2	0.00708272263076212
ETV6	5.85894048078259e-05
SMCO4	0.000363808114794376
SDCBP	2.48593392005513e-09
GCLM	5.5967349810186e-06
GPBP1L1	0.0353948567200942
USP8	0.0130398423384829
EZR	0.000178583808650052
ATG12	0.000623665758931954
CTSH	0.0123986371048345
LSP1	0.000133344344137097
MAPRE1	2.59479546568123e-06
SLC37A4	0.00103556304701871
ANKRD11	2.99990004441367e-05
DGUOK	0.00190621227466039
AFF4	0.0468550762543307
RCN1	1.76324766940987e-07
B3GAT3	0.0154603022411228
AKT3	1.98650921991424e-05
ARMCX3	3.73262753044397e-05
G6PC	0.0146880402947837
PARP6	2.24637527969387e-05
EIF4G1	5.5070801398203e-05
DDOST	0.000538123434207938
CHMP4A	0.0141313590527292
ARL3	5.66392672322563e-06
MST1	0.000121110699669641
STK38L	3.02766319253557e-06
PKD2	0.0092230563095089
ALOX5AP	0.005658425122443
CYFIP1	0.000156487274937392
DDX24	2.84254970834949e-06
CCDC127	0.0032546108105242
SERINC1	2.76963647031752e-05
ZKSCAN1	0.0174763045410885
NRBF2	0.0215211731260048
TCTN3	0.00169108202269588
ITPA	0.0326324961269115
TNS3	0.00043114495966361
FNDC4	0.000575561942168475
TRAPPC6A	6.16548507640499e-06
PSMF1	0.000411293269467902
CCND1	0.00333569146392286
RBM17	1.01007245101567e-06
RAB5C	0.000576173496702557
RTF1	1.38418386775445e-05
ARPC2	4.03484809851144e-07
CNN3	3.95920404714867e-14
CAPZB	3.73223576627107e-07
MRPS34	3.01252730876695e-07
ZNF106	0.00220365825292157
TMEM50A	1.78531950561876e-06
SAT2	1.43554738656183e-06
RAB5A	0.000398852945523377
EIF3G	1.94392004676544e-08
DLGAP4	0.000502588175222838
CCDC57	0.00559174040696435
IFI6	7.4016372083276e-08
DPY30	0.00266944963448978
RASSF3	2.40697611973146e-05
BANF1	7.3173049390218e-05
GIMAP1	0.00522440468413559
HSBP1	2.25659167168701e-06
C1orf54	3.15993715274496e-06
GRPEL1	2.06251000693088e-06
DYRK1A	0.0342352964265175
GCH1	0.0222076540339373
LSM7	1.10555177480009e-05
SUMF2	4.76375804191739e-07
SWI5	0.00066661707872426
PPCS	3.47111785335035e-05
MPV17	0.000131864339409914
PLEKHM2	0.000476147432138334
IFT27	0.0051982325763061
KLC1	4.00141813450526e-05
SLU7	1.26654264087666e-06
FCN2	0.00922081751108901
DHRS1	0.0158408850241393
RP11-6B4.1	0.0376180423675928
TAGLN2	1.44539181287584e-10
SEPT9	0.00103587041630244
GTF2A2	2.34625845509596e-08
ALDOA	9.03137314033142e-05
CNIH1	2.00966381520843e-06
SF3B2	2.92715719737368e-06
TUBB2A	0.00545302682935763
NCK1	0.0057856760395949
EIF2AK4	0.011053912182955
ECSIT	1.32767749805381e-06
NFE2L1	0.00652045335887533
PERP	0.0199701317245874
U2AF1L4	0.00521547022099739
ELMSAN1	4.46706924986835e-07
GBA	0.00810651216174521
TMPO	0.00705378315544796
OARD1	0.0439110285428556
TCEAL8	1.77151166420933e-05
CYP20A1	0.000292009399635541
TAF9	0.00721047718148035
HDDC2	0.00331341217776479
ARHGDIA	2.34690591524402e-08
MLF2	0.000146573556216553
C4orf48	2.67498569045721e-09
SRSF4	9.92206946000288e-08
PPP1CC	1.23286612049485e-05
CTNNB1	3.40600899161569e-05
SPATS2L	1.82375125343937e-07
C10orf11	0.00114341901398196
ADIPOR2	0.00729797300983919
C1orf43	0.000135704121441541
CAPN1	0.000265154446954481
TNFRSF1A	5.64677099077473e-07
CPSF6	0.0419486554657212
PLIN2	0.000584763678325772
USP48	2.33321660221157e-05
C2orf88	0.00981138247360827
SPG21	0.011396915382072
KLHDC3	0.00306240754288275
TP53INP1	0.0253959664899635
NR0B2	0.00998260497747443
ECI2	0.000500287271994285
PANK1	0.0101252894785073
DNAJC3	0.000313344667138479
PHF20	0.0424941238024699
NFE2L2	0.0213651025259174
TFE3	0.000610732752285186
TSTD1	0.0218999288955818
CHMP4B	0.00408258360346461
BDH1	0.0206410560973254
SHMT2	0.0128683002611103
ALDH1L1	0.000179090563350798
TANK	0.00163589283597615
IGBP1	1.7438171213596e-07
FAM134A	0.00592297073625838
AP3B1	0.00180407764118589
PUF60	0.000138663816463213
AFF1	0.00084826103988958
CNOT7	0.000126497301345081
HIBCH	0.0369059052489953
PRMT2	7.20683747139078e-06
SLC16A3	0.00981582828792335
SMARCA4	0.0239599899291571
VPS35	0.00104471744117052
HOOK3	1.35788174904218e-05
CBX1	0.000936286334472354
ATP6AP2	8.24361082701646e-05
EMC7	7.31862660630668e-07
C19orf43	0.00698923022110732
SLMAP	0.0441667707943331
LRRFIP2	0.0159733450476131
SLC27A5	0.000434225456834376
ERC1	0.0369383803054774
CCNK	2.49589365484498e-06
ALG5	0.000181565441273797
DCK	8.66347566341593e-05
GNPTG	4.04174674025692e-06
TANC1	0.000760209947440656
CD68	0.00159162880528428
MBD1	0.0270895624799314
SEPT8	1.02816530878988e-08
C1orf56	0.00010435925258872
TMPRSS6	0.0448982297602751
CALU	6.89203626553221e-15
NUTF2	1.06094563861885e-05
EIF3E	0.000175942971202358
DCTN3	2.80544052328135e-09
SLC18B1	5.89260948500749e-06
SNX10	0.00170059069156735
LMO4	0.00188752170089979
PTPN12	0.00239257172502934
PHKG1	0.00112590752723924
SLC4A7	0.0166487003737325
HEBP1	4.54147147654375e-07
RGCC	0.0135918245724669
CNBP	2.59737048689583e-08
ARF6	0.00011590273462935
CYB5R3	1.98344125814195e-05
TMEM87A	0.00103615676058012
CREB3L3	0.0416548725334822
EGR1	0.00193468776441655
CTSL	0.000193748086563541
ST3GAL6	0.0310444023290066
MAGEF1	1.43337325482556e-06
FLCN	0.000513875650360706
BHMT	1.26090338582673e-05
LAMTOR1	9.35446463247736e-07
LTB	0.049450281937762
HGS	0.00271415908424582
PGAM1	1.77556760998875e-09
PREB	2.17826289623337e-05
PRKD3	0.000923954048011887
FYN	0.00177756809186565
SET	0.000393262479668657
YAF2	3.34760627063645e-06
SH3PXD2A	3.28544680657646e-07
SF3B6	7.83459530958262e-06
MAP3K13	4.73517828259649e-05
RP11-347P5.1	0.0282979344304414
TBCC	0.0047313377209529
NAP1L4	0.000147076488274972
MZT2A	1.89607894305535e-06
TMEM57	0.000864690531779479
ZFAS1	1.08207340577515e-06
SF1	1.69425289148236e-05
PGM2	0.00029588450037918
RAD23B	0.0262101095621654
MRPS25	0.0238269475759746
KMT2E	9.36217955102336e-05
GPAM	0.00347888375504759
C1orf115	0.0157993402098049
ARHGAP17	5.28283157386141e-05
EPB41L2	0.000472421970430783
HNRNPC	8.33433274720755e-07
ARPC5	4.80732399347867e-10
S100A11	5.98409786359375e-13
AES	2.04257257186027e-05
EAPP	4.32974127714101e-05
CEP63	0.0288184129222976
SQSTM1	6.16196547622024e-08
DST	1.10422621150149e-05
NOSIP	1.31454381690378e-07
PSMA1	0.00124027233414308
HNRNPD	0.000237111937699249
FUS	6.34195001770555e-08
EFNA1	0.00483295504296305
TMEM33	0.00778756421131215
YWHAB	5.84314897139571e-05
CDC123	0.00467530633226089
CTDSP2	0.00259947648826497
MAT2A	0.000866745253659921
KIF5B	4.25681154363773e-08
COMMD4	1.41472421410181e-08
CIRBP	0.000113658084905534
EIF2AK2	0.000292601484496593
PIGM	0.000798090512232334
RBM25	4.52779470051236e-05
SLC25A13	0.000221262545732938
SDPR	7.20883511515618e-06
SLC44A1	0.00595290521708638
KLF13	0.039888503807789
DRAM2	1.78802576432875e-07
MYL12B	1.88795759287373e-06
PGM3	3.50193731658805e-06
BLOC1S4	0.000266682846177009
TAF1D	1.77091595298186e-05
GBAS	3.92023718621579e-05
PRMT5	0.000168191527582507
LYRM5	0.000206779840616597
AKR1D1	0.0295468547834035
CDK4	0.000473350688432257
KDELR1	1.23386669898268e-05
SLCO1B3	0.0074306825587671
TSPO	0.00042516380142751
CHMP3	0.00169250258329074
AR	0.000608295975047221
NAA20	0.00152129866718088
AK2	0.000955596795713867
SCYL1	0.0446749877523099
RAB11B	6.30422152422562e-08
EIF3A	0.0183503801974516
SSBP4	9.52906525228914e-05
TNRC6A	0.000108116282335044
IPO5	1.85600710680119e-05
TCEAL3	8.80015196618998e-12
H6PD	0.000820164284474493
CYC1	5.8308918493044e-13
GPSM3	0.0182067200936393
BRK1	2.17552954849549e-07
RBMX	3.18150232946075e-06
MYO1F	0.0172882926578602
MRPL3	0.000869853471184563
NEAT1	2.1765976250066e-05
LYPLAL1	0.00561879924929835
HSD17B13	0.0324680547934955
ZNF688	0.000231121619317609
DCAF13	0.000189990944610113
CRYZ	0.0347967439785757
RAB17	0.0197160051438533
DUT	0.00423291356690959
PJA2	8.80687740051886e-06
ANXA7	0.0197839827551496
METTL12	3.34611733712372e-05
C14orf166	9.43710165271204e-06
RAN	6.69787339661225e-06
KLHDC2	0.000192411641626865
LUC7L3	0.00129943031344824
ERLEC1	8.64813237296969e-09
CWC15	3.19259122093261e-06
IDH2	8.29817542306438e-08
CNIH4	0.000318862690896136
FYB	0.000998371362068932
HPGD	0.000886213473726082
TPST2	0.00145244953950905
YWHAG	3.06442612845276e-05
IST1	0.00109265423904018
WDR1	2.71459123015626e-08
STK24	0.0118379329398578
GNB2	9.50564354480277e-10
SDHD	0.00111080791305723
DGCR6L	1.89929832525719e-06
CPN2	0.0120711839388572
BMI1	0.00060775205575446
TIMM17B	0.000145503428614532
LRPAP1	1.97236941028595e-07
C12orf57	1.26618839698089e-07
TTC38	0.000148348443993967
CASP4	0.0100758193776177
PDLIM2	3.45435965144289e-06
IRS2	0.0012627737752497
RALBP1	6.12233132647244e-07
LARP7	3.40526389657209e-07
VMP1	0.000528162356274181
CKS1B	0.000463649405482406
IKBIP	0.000735654317044439
STK4	0.0288721511065415
HAAO	0.0027885223485111
NENF	6.57792691514924e-05
LAPTM4B	0.00232194883291391
NUCB1	3.46523396829801e-09
JMJD1C	0.000257876050781443
TMEM30A	9.44520052760035e-05
RAB5B	0.0198134299400267
EVI2B	0.00168342313907467
TBL1XR1	0.000285652991389165
DYNC1LI2	7.32683850638765e-06
RAB1A	6.20009056127273e-07
WDR11	0.000929361613194065
CXXC5	0.00175657592607715
WDR61	0.00214607883297869
KPNB1	2.9747665698982e-12
FXYD5	1.7758208164258e-05
POLR2K	2.40293754432004e-06
IFITM2	2.70412124937241e-07
ATF7IP	0.000165742635664372
SPRYD4	0.00798351578509621
PROS1	1.33471895401157e-05
FEZ2	1.46713728690819e-06
ZNF593	0.00839488734688841
SEC13	1.52079856915098e-06
CORO1B	0.00201819533400555
ACSM5	0.000972881205668645
GPRC5C	0.0343355547905862
SERPINA7	0.0066536773090967
NAMPT	0.0105597499120504
SERINC3	0.000583254145389994
LYRM4	0.0092789711041396
NDUFS7	8.1883870896699e-07
ACO1	0.00432522883124131
FAM195A	0.00556132594086254
LRP10	0.0122276205561276
CDIPT	8.9407672568595e-07
MBD2	0.0332028889264777
BRMS1	0.00571634493639974
HAO2	0.00949336562611013
RBPJ	0.00341319175701694
TSPAN4	3.0713905329879e-09
SNX17	0.000129594147807548
NDUFB4	0.00157296016706181
RNPS1	0.0490276635756565
SEP15	1.83369115161533e-06
FAM107B	0.00263269512646162
FBL	0.000156796293478829
ALDH9A1	0.00028558438139284
MAOB	0.0211000183934826
LEPROTL1	0.000130140181342868
GLO1	0.00011107669748033
ACOX1	0.00707330441361581
FDX1	0.00670820452845837
FLOT1	8.54429784514311e-05
PDXDC1	0.00418022377306195
ARPP19	0.0274593158102792
NME4	8.59741723488281e-10
RGN	0.000323391982593347
HLA-DRB1	3.56643761952289e-10
BAZ1B	0.00970964887731044
SEC23A	3.66084033020093e-07
MBNL2	0.000331417235939594
UBQLN1	0.000323363120489559
CNOT11	1.41045292825057e-05
ERP44	1.70129474909585e-06
CAPZA1	0.000993358510911767
TIMM10	0.00111124841168289
PCBP2	0.0365073863800768
AGL	0.0122244628112489
RPN2	1.79318814405032e-10
PRPF38B	3.62512124630182e-06
RHEB	0.000677107003383114
EIF2A	1.94350475358884e-06
MAGOH	0.00987636055226763
EVL	0.000796520462502398
GIMAP4	0.0105516918723753
TUBB	0.000923313172088765
AQP9	0.00116392642620087
PROX1	0.00045966586305437
FAM120A	2.14362058839878e-06
PARP14	0.0336468685973805
PPP2CB	1.29010913266717e-05
SORD	0.000621134582673984
AIG1	8.34771914341609e-05
GADD45B	0.029898950030952
CDHR5	0.0168574997199029
AFMID	0.00295265033614445
DNAJC15	1.49414913557257e-05
TTC3	2.10444322362114e-09
SVBP	1.86438583755282e-06
GOLPH3	8.92860355844194e-05
STARD10	0.00189043582351747
PSMA3	2.97843527173147e-05
GUCD1	0.0243081331608366
H2AFJ	1.52244514636656e-10
NMT2	0.0374675528826714
C1RL	0.0476149334373826
CALM3	0.0111010306123604
MRPS33	0.00271080237332391
QDPR	3.51931253255104e-05
CD37	0.000463871997288249
PSMB1	9.62618926926197e-07
PCTP	0.0454947913695392
SUMO3	4.83192267396252e-05
CPS1	1.55096615918403e-06
CIDEB	0.00620181135405682
HMGCL	0.00069880366216938
RIC8A	0.000497982370932279
DAP	1.78853911975023e-07
ZBTB8OS	0.0104667129356489
HIPK3	0.012524883840475
ATP5C1	0.00013949941487452
SLC2A3	0.0047011109305159
RNF13	9.66350020391422e-08
TRBC2	0.0131839585717079
FAM96B	8.89240816635112e-08
ETNK2	0.00255677615661185
GGNBP2	0.000180707139134791
RBBP4	3.7196916719388e-05
PROSC	0.0198977959929364
HABP2	0.0152199762015577
NAPRT	0.0173289391430187
STK17A	0.000635496880670093
MRFAP1	1.77398804608971e-05
RBM6	7.3713059484094e-05
SULT1A1	6.65144256946277e-05
GTF3A	0.00151425696671295
GLDC	0.0379538108326587
AHNAK	2.07430864065537e-05
YIF1A	0.00363416610617897
IQGAP2	0.000222575708055712
CD48	0.00598884555995477
APBB1IP	0.0182334139056444
HLA-DQB1	0.017014076236688
BRD7	2.88482042944874e-06
CD2	0.0483506523756189
SARS	1.14790206208339e-06
LINC01554	0.0272432465290261
CTD-2336O2.1	0.00614283050468322
KIAA0232	0.000933364880628065
CHMP2B	0.00307020071525333
CDS2	6.87524213672144e-05
HSPB1	1.54664530959261e-07
SHARPIN	7.27221984773227e-06
FAM32A	1.40973304475363e-05
CLIC1	1.5239481406535e-09
SRSF7	1.68616826789071e-06
RXRA	0.000883820262652447
IFITM3	2.03481242852746e-07
SMAD2	7.12773126581353e-08
CAPZA2	2.73841523193822e-08
SLC10A1	0.0148737742465413
CASC4	7.9656348811208e-05
CTBS	5.34970104350824e-05
AMFR	8.05550630565567e-06
AQP3	0.00140868857657931
EIF3F	1.29175277705924e-07
IMP3	0.00524973357073025
PSMB5	0.00106502126734847
GLYCTK	0.0040123763629701
CHPT1	0.00105137538564637
HSBP1L1	0.00250848335117347
CHURC1	3.25304056931505e-10
WIPF1	0.0329694562059406
SLC25A25	0.012059071912306
SLC38A4	0.00764436942548798
CRBN	0.0201652825373523
CFH	2.1432680779725e-06
TCEA1	1.44300865810841e-06
RSRC2	1.46398784110815e-05
PRRC2C	0.000287325088171487
CYP8B1	0.000757711649728223
MRPS12	0.0097677809545553
ECI1	1.53118122364737e-05
RPL22L1	6.2949140543288e-06
CSTA	0.0327902813115797
LMBRD1	0.00678056247734324
COX7A2L	0.000113591304647421
TRAPPC2L	2.86055238561446e-05
IQGAP1	9.23123409868308e-05
TMEM14C	2.7886915757372e-05
ZNF281	9.33844416067525e-06
ID2	0.00535327924679153
MOCS2	0.000715524189989775
LMAN2	8.9053163353389e-06
SNX30	9.01425855496231e-05
PSMD7	0.00113537712844211
SLC27A2	0.0030435996822283
ISOC2	0.000231368956599787
HNRNPA1	3.06427401669487e-06
LTA4H	0.00197782885878864
VDAC1	9.54693888708345e-06
EIF2S2	0.00410779543295606
PPP1R14B	0.00330927820733308
TUBB4B	0.00152970015395009
KRT8	2.11395233817108e-07
MRPL46	0.0346892950723593
CD7	0.0137609051055149
NDUFAF3	6.24499019998681e-10
CARD16	0.0048579591055066
ESPN	0.0314651575738035
ITIH4	0.0294141682800163
PLA2G16	0.000318874778597178
SRSF6	0.000144220472062109
HDLBP	0.000962577356379107
RHOG	0.0146751106084043
FGL2	0.000924172324629349
MRPS7	0.0315618795961644
LBR	0.00122285199746559
ATP5B	1.47798730076369e-06
NDUFB5	0.000242358138340349
GPX2	0.000876022029559019
RTN3	1.54223438951642e-06
OTC	0.030491693778707
SH3GLB1	8.51381875974105e-07
MYL6	3.94567180671196e-05
BHMT2	0.022334383276863
N4BP2L1	0.0146676575464063
NR1I3	0.000906058475333435
F7	0.00970298902164359
